epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7507,2.8093,5.76437,1.76182,3e-05,0.01176,0.00275,0.00082,2.6834,6.18403,1.6153,0.000351817,0.000351817,0.000351817
2,90.4074,2.59806,4.89641,1.52986,0.00011,0.02796,0.00015,5e-05,2.46167,5.72526,1.54973,0.000698319,0.000698319,0.000698319
3,122.673,2.48523,4.14541,1.48579,0.0003,0.07944,0.00174,0.00067,2.71453,5.79866,1.71539,0.00102038,0.00102038,0.00102038
4,151.198,2.47757,3.98128,1.47646,0.00055,0.13092,0.01804,0.00509,2.52857,5.25855,1.63289,0.00100101,0.00100101,0.00100101
5,179.89,2.4277,3.79062,1.4691,0.44052,0.04924,0.06251,0.019,2.56186,5.11337,1.81789,0.000964348,0.000964348,0.000964348
6,209.357,2.48495,3.55168,1.48054,0.67391,0.06768,0.13618,0.04035,2.60298,4.15179,1.73101,0.000927685,0.000927685,0.000927685
7,237.921,2.40783,3.18163,1.45082,0.56862,0.19962,0.1917,0.0761,2.48372,3.48062,1.57442,0.000891022,0.000891022,0.000891022
8,266.268,2.25547,3.06037,1.37524,0.36124,0.21553,0.21678,0.09683,2.52502,3.686,1.63826,0.000854359,0.000854359,0.000854359
9,294.206,2.34503,3.01152,1.45902,0.45563,0.15978,0.22731,0.10303,2.53638,3.68231,1.58553,0.000817696,0.000817696,0.000817696
10,322.284,2.22263,2.81181,1.38966,0.54256,0.30327,0.38617,0.14954,2.44816,3.37554,1.59877,0.000781033,0.000781033,0.000781033
11,350.739,2.24353,2.76973,1.40837,0.58988,0.37025,0.41785,0.16629,2.46165,3.01251,1.6231,0.00074437,0.00074437,0.00074437
12,379.114,2.20975,2.59483,1.35898,0.729,0.33033,0.4789,0.20626,2.40537,2.72745,1.61537,0.000707707,0.000707707,0.000707707
13,407.336,2.19579,2.52773,1.39722,0.55237,0.38218,0.38291,0.17359,2.50354,3.23038,1.60535,0.000671044,0.000671044,0.000671044
14,436.225,2.11666,2.31619,1.39217,0.53075,0.51326,0.48591,0.20943,2.31476,2.71293,1.51957,0.000634381,0.000634381,0.000634381
15,464.626,2.11642,2.2298,1.37683,0.59197,0.56294,0.57347,0.22147,2.3402,2.62927,1.46139,0.000597718,0.000597718,0.000597718
16,492.822,2.11744,2.13027,1.3331,0.6957,0.57952,0.59193,0.23734,2.39686,2.56184,1.48581,0.000561055,0.000561055,0.000561055
17,528.275,2.034,2.10743,1.29802,0.65462,0.57442,0.65349,0.27718,2.19229,2.41981,1.4111,0.000524392,0.000524392,0.000524392
18,563.38,2.09394,2.03328,1.34469,0.61483,0.59991,0.63243,0.26033,2.2458,2.28382,1.49239,0.000487729,0.000487729,0.000487729
19,597.492,2.11181,2.0309,1.27781,0.75446,0.53756,0.67054,0.29909,2.127,2.11308,1.44994,0.000451066,0.000451066,0.000451066
20,631.835,1.99403,1.91306,1.27497,0.67261,0.74358,0.7101,0.30147,2.23507,2.1726,1.48005,0.000414403,0.000414403,0.000414403
21,665.913,1.98927,1.9111,1.32745,0.81026,0.63381,0.70257,0.3151,2.18323,2.08484,1.46499,0.00037774,0.00037774,0.00037774
22,698.739,1.91787,1.74559,1.30588,0.61669,0.57518,0.64266,0.29597,2.13189,2.21067,1.45564,0.000341077,0.000341077,0.000341077
23,731.067,1.87939,1.71209,1.30669,0.73398,0.68103,0.73226,0.31096,2.15787,2.02879,1.4447,0.000304414,0.000304414,0.000304414
24,766.282,1.87463,1.65863,1.26778,0.835,0.6941,0.76746,0.31351,2.19799,1.99576,1.45193,0.000267751,0.000267751,0.000267751
25,812.391,1.86991,1.71365,1.27627,0.85832,0.70354,0.77451,0.33816,2.15615,1.8599,1.45655,0.000231088,0.000231088,0.000231088
26,857.003,1.83954,1.61226,1.30158,0.85112,0.73364,0.78777,0.37082,2.10367,1.75208,1.44705,0.000194425,0.000194425,0.000194425
27,903.9,1.85543,1.57578,1.30265,0.86383,0.73575,0.80384,0.39128,2.08858,1.74881,1.42925,0.000157762,0.000157762,0.000157762
28,930.17,1.78501,1.53335,1.25753,0.86106,0.76961,0.82613,0.38931,2.05241,1.73246,1.41403,0.000121099,0.000121099,0.000121099
29,955.888,1.82608,1.508,1.25933,0.85163,0.78554,0.82647,0.3717,2.08433,1.7227,1.41451,8.4436e-05,8.4436e-05,8.4436e-05
30,981.597,1.7493,1.44892,1.23698,0.84126,0.77425,0.82673,0.37083,2.09912,1.71781,1.42101,4.7773e-05,4.7773e-05,4.7773e-05
